trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.55, 'e': 0.7273711386442545}",20,0,-109.73656457119905,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
161,False,"{'a': 0.55, 'e': 0.7259163963669659}",20,0,-81.32958407845767,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.55, 'e': 0.7244645635742321}",20,0,-71.149478266576,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
163,False,"{'a': 0.55, 'e': 0.7230156344470835}",30,4,-74.52033482363602,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 1}",1
164,False,"{'a': 0.55, 'e': 0.7215696031781894}",30,0,-107.73777671756653,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
165,False,"{'a': 0.55, 'e': 0.720126463971833}",20,0,-71.66244379455027,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
166,False,"{'a': 0.55, 'e': 0.7186862110438893}",25,0,-50.57643421290377,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
167,False,"{'a': 0.55, 'e': 0.7172488386218016}",20,3,-29.871731950998132,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.55, 'e': 0.715814340944558}",20,9,-16.806195875750696,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.55, 'e': 0.7143827122626688}",20,0,-37.647569349232484,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
170,False,"{'a': 0.55, 'e': 0.7129539468381435}",35,13,-17.11682681607794,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
171,False,"{'a': 0.55, 'e': 0.7115280389444671}",25,12,-61.57707504410647,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
172,False,"{'a': 0.55, 'e': 0.7101049828665783}",20,0,-42.71218009624611,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.55, 'e': 0.7086847729008451}",20,13,3.738689637739879,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.55, 'e': 0.7072674033550435}",35,0,-117.99209020480895,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
175,False,"{'a': 0.55, 'e': 0.7058528685483333}",30,0,-108.7596313677433,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",1
176,False,"{'a': 0.55, 'e': 0.7044411628112367}",25,3,-4.566143168556669,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.55, 'e': 0.7030322804856142}",20,12,-5.713291106003279,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.55, 'e': 0.7016262159246429}",20,7,-55.62873021366209,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
179,False,"{'a': 0.55, 'e': 0.7002229634927937}",20,10,-11.636983182266142,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.55, 'e': 0.698822517565808}",30,0,0.25892211754475447,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
181,False,"{'a': 0.55, 'e': 0.6974248725306764}",30,0,-74.85311777276085,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
